University ,Faculty,Department,"Title, Name and Surname"
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Docent Ismail Alper Isoglu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Docent Kevser Kahraman
Abdullah Gul Universitesi,Muhendislik Fakultesi,Muhendislik Bilimleri Bolumu,Docent Mehmet Tarik Atay
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Docent Muge Akin
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Docent Muserref Duygu Sacar Demirci
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Docent Ramazan Unlu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Rifat Kurban
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Docent Sergey Borisenok
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Ekonomi Bolumu,Docent Umut Turk
Abdullah Gul Universitesi,Muhendislik Fakultesi,Muhendislik Bilimleri Bolumu,Docent Yilmaz Mehmet Demirci
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Zafer Aydin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Docent Zubeyir Cinkir
Abdullah Gul Universitesi,Rektorluk,Ortak Dersler Bolumu,Ogretim Gorevlisi (unvan:docent) Ahmet Kayasandik
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Ali Ersoy
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Ogretim Gorevlisi Alper Savasci
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Alper Zafer Gunes
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Aslihan Aksoy
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Ogretim Gorevlisi Aysegul Kidik
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Ogretim Gorevlisi Bahar Elagoz Timur
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Behice Celikbas
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Besime Ceylan
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Beyzanur Gunes
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Bora Akince
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Buket Guner
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Ogretim Gorevlisi Cavidan Yakupoglu Karaagac
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Cengiz Ali Seyhun Demets
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Daryl Nicholas York
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Ogretim Gorevlisi Demet Saylan
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Doga Cosgun
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Ebru Telkenaroglu
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Elif Ozkoc
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Emre Artut
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Eren Cemil Delibas
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Esma Saraymen
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Esra Hasoglu
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Esra Kilicarslan
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Fatma Ekinci
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Fatma Emray Deniz
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Fatma Gamze Sokucu
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Fatma Kubra Durna
Abdullah Gul Universitesi,Rektorluk,Ortak Dersler Bolumu,Ogretim Gorevlisi Fatma Nur Aycicek
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Fatma Nur Dincoglu
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Furkan Butun
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Gulcan Duran
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Gulsum Duran Guler
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Halilcan Kocak
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Haydar Akcadag
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Hilal Demirel
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Hulya Ozturk
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Ogretim Gorevlisi Huseyin Guner
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Ibrahim Deneme
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Siyaset Bilimi Ve Uluslararasi Iliskiler Bolumu,Ogretim Gorevlisi Ibrahim Hakan Gover
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Ismail Vakur
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Kadriye Nur Sayki
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Kubra Erol
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Kubra Keser
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Levent Demir
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Marie-louise Xavier
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Ogretim Gorevlisi Mehmet Goren
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Mehmet Emin Goksen
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Melike Aygun Cakiroglu
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Melike Gale
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Merve Aydin Culha
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Merve Gazioglu
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Morgan Lloyd
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Muhammet Esad Kuloglu
Abdullah Gul Universitesi,Rektorluk,Ortak Dersler Bolumu,Ogretim Gorevlisi (unvan:docent) Murat Karatas
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Murat Mesut Kural
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Mustafa Ozer
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Ogretim Gorevlisi Muge Bekar
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Nisrin Al Rubaiee
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Ogretim Gorevlisi Nihan Mus Ozmen
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Nimet Bulut
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Nur Banu Karaman
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Nuray Candemir
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Olfa Boussada Hmili
Abdullah Gul Universitesi,Muhendislik Fakultesi,Muhendislik Bilimleri Bolumu,Ogretim Gorevlisi Osman Topan
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Omer Batuhan Kizilisik
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyoenformatik Bolumu,Ogretim Gorevlisi Omer Faruk Bay
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Ozlem Yazici
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Rabia Nur Kartal
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Rana Suayin
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Salih Yalcin
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Seda Benli Kaynak
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Selma Mert
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Ogretim Gorevlisi Seyit Gokmen
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Solmaz Sebnem Severcan
Abdullah Gul Universitesi,Rektorluk,Ortak Dersler Bolumu,Ogretim Gorevlisi Sumeyra Ayik
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Ogretim Gorevlisi Sakir Yilmaz
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Sehla Yilmaz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Ogretim Gorevlisi Seyma Dadi
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Seyma Kaya
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Tuba Demir Gencer
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Tugba Birdal
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Tugba Ozbek
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Ufuk Tanriseven
Abdullah Gul Universitesi,Muhendislik Fakultesi,Muhendislik Bilimleri Bolumu,Ogretim Gorevlisi Ugur Kayas
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Umit Bayram
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Ummugul Mutlu Koroglu
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Vasfiye Aytekin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Ogretim Gorevlisi Volkan Ozden
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Yagmur Kaykac
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Yasin Turan
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Yeliz Bolat
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Zerrin Sumengen
Abdullah Gul Universitesi,Yabanci Diller Yuksekokulu,Yabanci Diller Bolumu,Ogretim Gorevlisi Zeynep Funda Sonbul
Abdullah Gul Universitesi,Rektorluk,,Ogretim Gorevlisi Zulkif Korkmaz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Abdulkadir Gulsen
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Arastirma Gorevlisi Abdullah Colak
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Arastirma Gorevlisi Abdullah Keskin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Abdullah Oran
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Arastirma Gorevlisi Adar Cem Lagap
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Ahmet Aslan
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Ahmet Bas
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Ahmet Kayapinar
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Arastirma Gorevlisi Ahmet Faruk Yazici
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Aslihan Atilgan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Atif Kerem Sanli
Abdullah Gul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Arastirma Gorevlisi Aydin Gunes
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Ayse Gul
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Aysegul Ulutopcu
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Ekonomi Bolumu,Arastirma Gorevlisi Aysenur Durak
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Betul Erkantarci
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Beyhan Adanur Dedeturk
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Burak Kolukisa
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Arastirma Gorevlisi Busra Acar
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Arastirma Gorevlisi Ceyda Cihan Aydogdu
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Arastirma Gorevlisi Ceyhun Sari
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Arastirma Gorevlisi Derya Dincyurek Ekici
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Arastirma Gorevlisi (unvan:docent) Dilek Senol Arslan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Ebubekir Keskinkilic
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Arastirma Gorevlisi Efe Berk Bozkurt
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Arastirma Gorevlisi (unvan:docent) Ekin Koken
Abdullah Gul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Arastirma Gorevlisi Emin Demircioglu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Engin Yildiz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Eren Yagmur
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Ersin Erdogan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Fatih Altindis
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Fatma Celebi
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Siyaset Bilimi Ve Uluslararasi Iliskiler Bolumu,Arastirma Gorevlisi Fevzi Can Guruz
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Ekonomi Bolumu,Arastirma Gorevlisi Gulcan Doganay
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Gulsum Polat
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Arastirma Gorevlisi Habibe Sena Dundar
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Arastirma Gorevlisi Hafize Oznur Erem
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Hakan Yalcin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Arastirma Gorevlisi Hande Marulcuoglu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Hatice Busra Gokbunar
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Hediye Yorulmaz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Hilal Hacilar
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Hurmet Kucukgoncu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Huseyin Akkas
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Siyaset Bilimi Ve Uluslararasi Iliskiler Bolumu,Arastirma Gorevlisi Ibrahim Alsancak
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Ibrahim Furkan Tezcan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Ibrahim Tumay Gulbahar
Abdullah Gul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Arastirma Gorevlisi Ilayda Erdem
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Ilinur Can
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Irem Baz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Ismet Soylemez
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Kubra Nur Sahin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Levent Yavuz
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Arastirma Gorevlisi Mahir Alper Bilgici
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Mahmut Buyukbas
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Arastirma Gorevlisi Mehmet Burak Yigit
Abdullah Gul Universitesi,Muhendislik Fakultesi,Muhendislik Bilimleri Bolumu,Arastirma Gorevlisi Mehmet Emin Tamar
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Mehmet Eren Nalici
Abdullah Gul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Arastirma Gorevlisi Mehmet Furkan Baltacioglu
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Arastirma Gorevlisi Merve Saritas
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Arastirma Gorevlisi Miray Unlu Yazici
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Muhammed Safak Pinar
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Muhammet Atasever
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Muharrem Melih Utkan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Mustafa Etcil
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Ekonomi Bolumu,Arastirma Gorevlisi Mustafa Semih Peker
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Muzeyyen Savas
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Arastirma Gorevlisi Nagehan Kose
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Arastirma Gorevlisi Nurefsan Batmaz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Arastirma Gorevlisi Nurten Bulut
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Arastirma Gorevlisi Oguzhan Ayyildiz
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Omer Dilmen
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Arastirma Gorevlisi Omer Topuz
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Arastirma Gorevlisi Omer Faruk Unlusoy
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Arastirma Gorevlisi Ozkan Ilmek
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Arastirma Gorevlisi Rana Torun
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Arastirma Gorevlisi Refika Sultan Dogan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Arastirma Gorevlisi Sami Kaya
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Arastirma Gorevlisi Seda Arici
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Arastirma Gorevlisi Sedat Gulcimen
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Ekonomi Bolumu,Arastirma Gorevlisi Serap Bulbul
